,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,OT,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
WildCard,Sun,05-Jan-20,boxscore,L,,,Seattle Seahawks,9,17,20,282,162,120,,16,382,318,64,,,,
WildCard,Sun,06-Jan-19,boxscore,W,,@,Chicago Bears,16,15,21,300,258,42,2,17,356,291,65,,,,
Division,Sun,13-Jan-19,boxscore,L,,@,New Orleans Saints,14,20,15,250,201,49,2,25,420,283,137,1,,,
Division,Sat,13-Jan-18,boxscore,W,,,Atlanta Falcons,15,10,22,334,238,96,2,19,281,195,86,,,,
ConfChamp,Sun,21-Jan-18,boxscore,W,,,Minnesota Vikings,38,7,27,456,346,110,,22,333,263,70,3,,,
SuperBowl,Sun,04-Feb-18,boxscore,W,,N,New England Patriots,41,33,25,538,374,164,1,29,613,500,113,1,,,
WildCard,Sat,04-Jan-14,boxscore,L,,,New Orleans Saints,24,26,17,256,176,80,,26,434,249,185,2,,,
WildCard,Sun,09-Jan-11,boxscore,L,,,Green Bay Packers,16,21,18,352,271,81,1,20,309,171,138,2,,,
WildCard,Sat,09-Jan-10,boxscore,L,,@,Dallas Cowboys,14,34,17,340,284,56,4,27,426,228,198,1,,,
WildCard,Sun,04-Jan-09,boxscore,W,,@,Minnesota Vikings,26,14,15,350,283,67,2,16,301,153,148,2,,,
Division,Sun,11-Jan-09,boxscore,W,,@,New York Giants,23,11,20,276,217,59,2,16,307,169,138,3,,,
ConfChamp,Sun,18-Jan-09,boxscore,L,,@,Arizona Cardinals,25,32,22,454,357,97,3,21,369,267,102,1,,,
WildCard,Sun,07-Jan-07,boxscore,W,,,New York Giants,23,20,19,323,138,185,,17,305,154,151,1,,,
Division,Sat,13-Jan-07,boxscore,L,,@,New Orleans Saints,24,27,14,355,232,123,,27,435,227,208,1,,,
Division,Sun,16-Jan-05,boxscore,W,,,Minnesota Vikings,27,14,23,395,286,109,1,21,385,288,97,2,,,
ConfChamp,Sun,23-Jan-05,boxscore,W,,,Atlanta Falcons,27,10,22,326,170,156,,14,202,103,99,1,,,
SuperBowl,Sun,06-Feb-05,boxscore,L,,N,New England Patriots,21,24,24,369,324,45,4,21,331,219,112,1,,,
Division,Sun,11-Jan-04,boxscore,W,OT,,Green Bay Packers,20,17,19,363,199,164,1,16,381,171,210,1,,,
ConfChamp,Sun,18-Jan-04,boxscore,L,,,Carolina Panthers,3,14,18,289,152,137,4,14,256,101,155,,,,
Division,Sat,11-Jan-03,boxscore,W,,,Atlanta Falcons,20,6,15,318,227,91,,19,354,261,93,2,,,
ConfChamp,Sun,19-Jan-03,boxscore,L,,,Tampa Bay Buccaneers,10,27,20,312,232,80,3,15,308,259,49,1,,,
WildCard,Sat,12-Jan-02,boxscore,W,,,Tampa Bay Buccaneers,31,9,17,334,186,148,1,16,258,195,63,4,,,
Division,Sat,19-Jan-02,boxscore,W,,@,Chicago Bears,33,19,19,336,249,87,1,10,184,73,111,4,,,
ConfChamp,Sun,27-Jan-02,boxscore,L,,@,St. Louis Rams,24,29,16,256,146,110,2,22,371,210,161,,,,
WildCard,Sun,31-Dec-00,boxscore,W,,,Tampa Bay Buccaneers,21,3,20,277,151,126,1,11,199,149,50,1,,,
Division,Sun,07-Jan-01,boxscore,L,,@,New York Giants,10,20,11,186,140,46,3,15,237,125,112,3,,,
WildCard,Sun,29-Dec-96,boxscore,L,,@,San Francisco 49ers,0,14,16,283,212,71,3,17,279,161,118,,,,
WildCard,Sat,30-Dec-95,boxscore,W,,,Detroit Lions,58,37,22,452,263,189,1,26,422,350,72,7,,,
Division,Sun,07-Jan-96,boxscore,L,,@,Dallas Cowboys,11,30,13,227,153,74,1,21,397,244,153,1,,,
WildCard,Sun,03-Jan-93,boxscore,W,,@,New Orleans Saints,36,20,19,349,213,136,1,20,360,284,76,4,,,
Division,Sun,10-Jan-93,boxscore,L,,@,Dallas Cowboys,10,34,12,178,115,63,2,22,346,186,160,1,,,
WildCard,Sat,05-Jan-91,boxscore,L,,,Washington Redskins,6,20,16,318,170,148,3,15,299,206,93,2,,,
WildCard,Sun,31-Dec-89,boxscore,L,,,Los Angeles Rams,7,21,14,306,211,95,3,19,409,265,144,3,,,
Division,Sat,31-Dec-88,boxscore,L,,@,Chicago Bears,12,20,22,430,378,52,3,14,341,177,164,4,,,
WildCard,Sun,27-Dec-81,boxscore,L,,,New York Giants,21,27,19,226,133,93,2,16,275,92,183,1,,,
Division,Sat,03-Jan-81,boxscore,W,,,Minnesota Vikings,31,16,24,305,179,126,3,14,215,179,36,8,,,
ConfChamp,Sun,11-Jan-81,boxscore,W,,,Dallas Cowboys,20,7,19,340,77,263,2,11,206,116,90,4,,,
SuperBowl,Sun,25-Jan-81,boxscore,L,,N,Oakland Raiders,10,27,19,360,291,69,4,17,377,260,117,,,,
WildCard,Sun,23-Dec-79,boxscore,W,,,Chicago Bears,27,17,18,315,176,139,3,15,241,142,99,3,,,
Division,Sat,29-Dec-79,boxscore,L,,@,Tampa Bay Buccaneers,17,24,15,227,179,48,1,17,318,132,186,1,,,
WildCard,Sun,24-Dec-78,boxscore,L,,@,Atlanta Falcons,13,14,15,217,164,53,2,14,298,223,75,5,,,
Championship,Mon,26-Dec-60,boxscore,W,,,Green Bay Packers,17,13,13,296,197,99,3,22,401,178,223,1,,,
Championship,Sun,18-Dec-49,boxscore,W,,@,Los Angeles Rams,14,0,17,342,68,274,3,7,109,88,21,1,,,
Championship,Sun,19-Dec-48,boxscore,W,,,Chicago Cardinals,7,0,16,232,7,225,3,6,131,35,96,3,,,
Division,Sun,21-Dec-47,boxscore,W,,@,Pittsburgh Steelers,21,0,17,255,131,124,2,7,154,52,102,2,,,
Championship,Sun,28-Dec-47,boxscore,L,,@,Chicago Cardinals,21,28,22,357,297,60,3,11,336,54,282,3,,,
